"event_id","sport_name","pre_play_turnover","in_play_turnover"
"2.100598251","Cricket",6,19.54
"2.100598254","Cricket",1457.24,4.52
"2.100598257","Cricket",577.2,202
"2.100598258","Cricket",26,49.22
"2.100598261","Cricket",555.5,40.84
"2.100598262","Cricket",768.36,64.36
"2.100598289","Cricket",822310.18,16769655.7
"2.100598290","Cricket",3731.44,5320.54
"2.100598291","Cricket",1653.97,1196.81
"2.100598292","Cricket",1960.88,1143.84
"2.100598293","Cricket",289.24,740
"2.100598295","Cricket",663.14,752
"2.100598297","Cricket",150.54,248.96
"2.100598299","Cricket",17112.95,30132.69
"2.100598329","Cricket",9045.94,85285.9
"2.100598361","Cricket",693.61,21.73
"2.100598368","Cricket",1321.76,715.4
"2.100598369","Cricket",1447,28
"2.100598396","Cricket",796193.65,14715665.69
"2.100598397","Cricket",2893.06,1110
"2.100598398","Cricket",1561.48,3265.8
"2.100598399","Cricket",2429.55,960.75
"2.100598400","Cricket",1282.48,226.8
"2.100598402","Cricket",1684.47,64.95
"2.100598406","Cricket",19052.91,15410.89
"2.100598436","Cricket",9088.54,150933.34
"2.100598468","Cricket",912.75,335.05
"2.100598471","Cricket",613.3,198.9
"2.100598474","Cricket",482.05,442.05
"2.100598475","Cricket",678.36,1540.82
"2.100598490","Cricket",100.52,1337.58
"2.100598505","Cricket",357156.4,8959003.22
"2.100598508","Cricket",2489.1,2147.46
"2.100598509","Cricket",46.9,208.4
"2.100598511","Cricket",1940.01,1813.07
"2.100598515","Cricket",15925.91,9275.39
"2.100598516","Cricket",7103.8,75026.42
"2.100598581","Cricket",6.54,35.16
"2.100598584","Cricket",865.14,70.48
"2.100598585","Cricket",77.82,189.32
"2.100598586","Cricket",849.64,635.62
"2.100598620","Soccer",41913.74,30990.8
"2.100598621","Soccer",3321.22,10874.28
"2.100598622","Soccer",2798.56,37475.04
"2.100598623","Soccer",32372.1,27331.54
"2.100598624","Soccer",4933.37,2771.57
"2.100598625","Soccer",2611.71,3331.75
"2.100598626","Soccer",26.08,136.62
"2.100598627","Soccer",2712.07,7643.11
"2.100598628","Soccer",1105.2,1203.88
"2.100598629","Soccer",36.4,7.48
"2.100598631","Soccer",1440.94,1290.22
"2.100598632","Soccer",321.4,184
"2.100598633","Soccer",1062.81,509.07
"2.100598634","Soccer",478.44,208.56
"2.100598642","Soccer",1983.9,4
"2.100598644","Soccer",237.68,189.5
"2.100598648","Soccer",2041.35,26299.93
"2.100598649","Soccer",32.42,300.66
"2.100598652","Soccer",446.92,400
"2.100598746","Soccer",87913.44,144360.3
"2.100598747","Soccer",5085.3,4205.2
"2.100598748","Soccer",5353.09,27254.35
"2.100598749","Soccer",26120.49,86533.61
"2.100598750","Soccer",8653.56,10556.62
"2.100598751","Soccer",2680.97,65520.39
"2.100598753","Soccer",2488.18,5261
"2.100598754","Soccer",1772.87,2472.41
"2.100598757","Soccer",872.2,12268.98
"2.100598758","Soccer",2974.06,14561.34
"2.100598759","Soccer",5042.78,7124.62
"2.100598760","Soccer",934.64,162.74
"2.100598768","Soccer",65.18,61.52
"2.100598770","Soccer",488.08,665.74
"2.100598774","Soccer",579.03,12442.95
"2.100598775","Soccer",97.84,334.18
"2.100598778","Soccer",537.32,162
"2.100598812","Soccer",129744.36,53525.18
"2.100598813","Soccer",5090.16,5713.78
"2.100598814","Soccer",7815.35,14997.53
"2.100598815","Soccer",17896.49,82943.93
"2.100598816","Soccer",5356.58,31707.88
"2.100598817","Soccer",12351.42,50949.38
"2.100598819","Soccer",3219.13,7130.31
"2.100598820","Soccer",1365.68,5458.44
"2.100598821","Soccer",30.58,58.64
"2.100598823","Soccer",83.86,1536.18
"2.100598824","Soccer",2146.04,1835.2
"2.100598825","Soccer",261.93,621.99
"2.100598826","Soccer",1293.46,53.86
"2.100598836","Soccer",309.98,1129.1
"2.100598837","Soccer",810.96,77.24
"2.100598840","Soccer",7605.08,7419.58
"2.100598841","Soccer",116.18,122.68
"2.100598844","Soccer",960.26,130.44
"2.100598889","Soccer",90242.01,92032.99
"2.100598890","Soccer",3727.57,4588.47
"2.100598891","Soccer",879.94,181
"2.100598892","Soccer",8881.92,3843.6
