latitude,longitude,city,region_name,country_name,sport_name,number_of_customers
-33.4397,151.2945,Kariong,New South Wales,Australia,Soccer,25
-27.6167,152.8000,Bundamba,Queensland,Australia,Tennis,22
-27.3171,153.0310,Bracken Ridge,Queensland,Australia,Rugby League,178
-34.9000,138.4833,Grange,South Australia,Australia,Rugby League,7
-27.9553,153.3991,Southport,Queensland,Australia,Australian Rules,129
-33.7277,150.8474,Colebee,New South Wales,Australia,Tennis,23
-27.1575,152.9576,Burpengary,Queensland,Australia,Australian Rules,83
-27.3950,153.4410,Point Lookout,Queensland,Australia,Australian Rules,9
-27.3086,151.6898,Acland,Queensland,Australia,Rugby League,5
-33.8794,151.2193,Surry Hills,New South Wales,Australia,Rugby League,1367
-33.8794,151.2193,Surry Hills,New South Wales,Australia,Rugby Union,400
-33.7833,150.9333,Seven Hills,New South Wales,Australia,Australian Rules,593
-37.7375,144.8921,Niddrie,Victoria,Australia,Soccer,630
-27.2008,153.1103,Scarborough,Queensland,Australia,Rugby Union,139
-37.7168,144.9667,Fawkner,Victoria,Australia,Australian Rules,70
-35.2000,138.4833,Seaford,South Australia,Australia,Soccer,31
-35.2000,138.4833,Seaford,South Australia,Australia,Australian Rules,44
-33.8428,150.9006,Wetherill Park,New South Wales,Australia,Rugby Union,26
-37.7904,144.9975,North Fitzroy,Victoria,Australia,Soccer,89
-33.9167,151.0333,Bankstown,New South Wales,Australia,Australian Rules,191
-33.9049,151.0200,Yagoona,New South Wales,Australia,Soccer,92
-27.1816,152.9178,Narangba,Queensland,Australia,Rugby League,110
-27.5424,153.0912,Brisbane,Queensland,Australia,Tennis,174
-27.4935,153.0763,Camp Hill,Queensland,Australia,Tennis,91
-38.1943,145.0926,Mount Eliza,Victoria,Australia,Cricket,18
-37.6333,142.4833,Strathmore,Victoria,Australia,Soccer,10
-33.8912,150.8699,Bonnyrigg Heights,New South Wales,Australia,Rugby League,83
-27.5167,153.2500,Wellington Point,Queensland,Australia,Rugby League,50
-33.8615,151.2055,,New South Wales,Australia,Australian Rules,442
-33.8344,151.1293,Gladesville,New South Wales,Australia,Tennis,117
-33.7335,150.9139,Acacia Gardens,New South Wales,Australia,Soccer,42
-33.8429,151.1107,Concord,New South Wales,Australia,Soccer,143
-38.3613,144.7795,Blairgowrie,Victoria,Australia,Tennis,5
-36.8641,174.7621,Auckland,Auckland,New Zealand,Soccer,578
-33.8799,151.1623,Newtown,New South Wales,Australia,Cricket,58
-33.8928,151.2041,Redfern,New South Wales,Australia,Rugby League,217
-37.8198,175.2865,Hamilton,Waikato,New Zealand,Rugby League,13
-37.8416,145.0177,Toorak,Victoria,Australia,Soccer,234
-37.9000,145.0333,Ormond,Victoria,Australia,Soccer,141
-37.6874,144.8868,Tullamarine,Victoria,Australia,Tennis,132
-33.9480,151.0798,Beverly Hills,New South Wales,Australia,Rugby League,68
-37.7667,144.9667,Brunswick,Victoria,Australia,Tennis,305
-37.8000,144.9000,Footscray,Victoria,Australia,Tennis,245
-33.8000,151.0500,Rydalmere,New South Wales,Australia,Rugby League,80
-31.9172,115.9380,Bassendean,Western Australia,Australia,Soccer,86
-38.1462,145.9406,Warragul,Victoria,Australia,Australian Rules,57
-27.2833,153.0000,Strathpine,Queensland,Australia,Rugby League,31
-27.8833,153.3000,Coomera,Queensland,Australia,Australian Rules,51
-35.2175,149.0770,McKellar,Australian Capital Territory,Australia,Rugby League,7
-36.8877,174.7529,Auckland,Auckland,New Zealand,Rugby League,55
-36.8585,174.7053,Auckland,Auckland,New Zealand,Rugby Union,50
-37.7849,175.2760,Hamilton,Waikato,New Zealand,Tennis,20
-37.8167,144.9000,Yarraville,Victoria,Australia,Australian Rules,138
-31.9853,115.8052,Nedlands,Western Australia,Australia,Australian Rules,72
-37.8500,145.2667,Bayswater,Victoria,Australia,Soccer,152
-33.9874,151.0253,Alfords Point,New South Wales,Australia,Soccer,15
-33.5922,150.9198,Maraylya,New South Wales,Australia,Australian Rules,14
-37.6667,145.0667,Mill Park,Victoria,Australia,Soccer,70
-30.3646,153.1014,Sawtell,New South Wales,Australia,Soccer,9
-38.0333,145.3500,Berwick,Victoria,Australia,Cricket,96
-35.2181,149.1052,Kaleen,Australian Capital Territory,Australia,Australian Rules,29
-19.2833,146.8000,Aitkenvale,Queensland,Australia,Cricket,1
-32.0248,115.9599,Beckenham,Western Australia,Australia,Rugby Union,18
-34.9287,138.5986,,South Australia,Australia,Cricket,505
-27.4710,153.0243,,Queensland,Australia,Cricket,890
-32.2333,115.7833,Medina,Western Australia,Australia,Cricket,83
-37.8895,145.0581,Carnegie,Victoria,Australia,Rugby League,750
-27.5500,152.9833,Oxley,Queensland,Australia,Tennis,26
-34.9618,138.6218,Highgate,South Australia,Australia,Cricket,2
-33.8333,151.0167,Rosehill,New South Wales,Australia,Soccer,9
-33.8794,151.2193,Darlinghurst,New South Wales,Australia,Soccer,458
-33.8794,151.2193,Darlinghurst,New South Wales,Australia,Australian Rules,239
-27.5999,152.7713,Ipswich,Queensland,Australia,Rugby League,730
-27.3500,152.9833,Albany Creek,Queensland,Australia,Australian Rules,87
-33.9393,151.0993,Kingsgrove,New South Wales,Australia,Rugby League,44
-27.6153,152.9439,Brisbane,Queensland,Australia,Cricket,78
-37.9833,145.0667,Mentone,Victoria,Australia,Soccer,266
-31.8958,115.7643,Scarborough,Western Australia,Australia,Soccer,155
-37.9201,145.0599,Bentleigh East,Victoria,Australia,Australian Rules,216
-33.8810,151.0799,Strathfield,New South Wales,Australia,Rugby League,534
-33.7061,150.9088,The Ponds,New South Wales,Australia,Rugby Union,51
-32.6667,152.0167,Carrington,New South Wales,Australia,Tennis,5
-33.7413,150.9546,Bella Vista,New South Wales,Australia,Soccer,98
-33.8429,151.1107,Concord,New South Wales,Australia,Australian Rules,63
-27.5999,152.7713,Ipswich,Queensland,Australia,Rugby Union,236
-27.4724,153.0948,Cannon Hill,Queensland,Australia,Rugby League,21
-37.8535,145.1503,Burwood,Victoria,Australia,Tennis,27
-36.0405,146.9406,Lavington,New South Wales,Australia,Soccer,5
-27.6221,153.0661,Stretton,Queensland,Australia,Tennis,21
-19.2500,146.8000,Townsville,Queensland,Australia,Rugby Union,9
-33.9167,151.0333,Bankstown,New South Wales,Australia,Rugby League,407
-38.0702,145.4741,Pakenham East,Victoria,Australia,Cricket,479
-37.7603,144.9502,Brunswick East,Victoria,Australia,Tennis,415
-37.8864,145.0025,Elsternwick,Victoria,Australia,Australian Rules,114
-33.7714,150.9021,Blacktown,New South Wales,Australia,Tennis,165
-37.8633,144.9802,St Kilda,Victoria,Australia,Australian Rules,760
-31.8276,115.8650,Perth,Western Australia,Australia,Rugby Union,58
-35.0076,138.7182,Stirling,South Australia,Australia,Rugby League,12
-27.4138,152.9470,Keperra,Queensland,Australia,Soccer,49
