calendar_dt,sport_name,turnover_gbp
2013-02-02T00:00:00.0000000,Tennis,73363.4112
2013-02-03T00:00:00.0000000,Cricket,860563.6096
2013-02-03T00:00:00.0000000,Rugby League,2350.4256
2013-02-03T00:00:00.0000000,Rugby Union,24180.7872
2013-02-03T00:00:00.0000000,Soccer,670498.112
2013-02-03T00:00:00.0000000,Tennis,103490.5984
2013-02-04T00:00:00.0000000,Cricket,370306.0992
2013-02-04T00:00:00.0000000,Soccer,78248.3648
2013-02-04T00:00:00.0000000,Tennis,45566.2464
2013-02-05T00:00:00.0000000,Cricket,136126.6176
2013-02-05T00:00:00.0000000,Soccer,81747.648
2013-02-05T00:00:00.0000000,Tennis,114769.9648
2013-02-06T00:00:00.0000000,Cricket,898614.9824
2013-02-06T00:00:00.0000000,Soccer,208886.5472
2013-02-06T00:00:00.0000000,Tennis,263366.9184
2013-02-07T00:00:00.0000000,Cricket,189205.5488
2013-02-07T00:00:00.0000000,Soccer,84969.9264
2013-02-07T00:00:00.0000000,Tennis,153798.176
2013-02-08T00:00:00.0000000,Cricket,607794.6304
2013-02-08T00:00:00.0000000,Rugby League,2541.8752
2013-02-08T00:00:00.0000000,Rugby Union,162.2848
2013-02-08T00:00:00.0000000,Soccer,169458.3104
2013-02-08T00:00:00.0000000,Tennis,175637.4848
2013-02-09T00:00:00.0000000,Cricket,307086.8224
2013-02-09T00:00:00.0000000,Rugby League,46850.7776
2013-02-09T00:00:00.0000000,Rugby Union,43878.8672
2013-02-09T00:00:00.0000000,Soccer,799720.8384
2013-02-09T00:00:00.0000000,Tennis,142923.0912
2013-02-10T00:00:00.0000000,Cricket,808015.0016
2013-02-10T00:00:00.0000000,Rugby League,1860.7744
2013-02-10T00:00:00.0000000,Rugby Union,40582.9632
2013-02-10T00:00:00.0000000,Soccer,728722.8352
2013-02-10T00:00:00.0000000,Tennis,143189.4912
2013-02-11T00:00:00.0000000,Cricket,332631.6352
2013-02-11T00:00:00.0000000,Soccer,211859.1424
2013-02-11T00:00:00.0000000,Tennis,224037.2096
2013-02-12T00:00:00.0000000,Cricket,350231.9104
2013-02-12T00:00:00.0000000,Soccer,208795.296
2013-02-12T00:00:00.0000000,Tennis,288443.264
2013-02-13T00:00:00.0000000,Cricket,824365.6768
2013-02-13T00:00:00.0000000,Soccer,233936.3392
2013-02-13T00:00:00.0000000,Tennis,222660.6976
2013-02-14T00:00:00.0000000,Cricket,268025.2608
2013-02-14T00:00:00.0000000,Rugby League,85.7216
2013-02-14T00:00:00.0000000,Soccer,204889.7408
2013-02-14T00:00:00.0000000,Tennis,325313.4016
2013-02-15T00:00:00.0000000,Australian Rules,42423.8912
2013-02-15T00:00:00.0000000,Cricket,317030.656
2013-02-15T00:00:00.0000000,Rugby League,2908.0832
2013-02-15T00:00:00.0000000,Rugby Union,24943.2064
2013-02-15T00:00:00.0000000,Soccer,184943.4368
2013-02-15T00:00:00.0000000,Tennis,235420.8064
2013-02-16T00:00:00.0000000,Australian Rules,31757.632
2013-02-16T00:00:00.0000000,Cricket,133974.0864
2013-02-16T00:00:00.0000000,Rugby League,1204.9024
2013-02-16T00:00:00.0000000,Rugby Union,36992.064
2013-02-16T00:00:00.0000000,Soccer,688754.6368
2013-02-16T00:00:00.0000000,Tennis,295933.2992
2013-02-17T00:00:00.0000000,Australian Rules,29601.088
2013-02-17T00:00:00.0000000,Cricket,876582.9248
2013-02-17T00:00:00.0000000,Rugby League,1084.672
